Report Station,New Station name,
AJ01,AJ01,
AJ02,ABRN01,
AJ03,ABR070,
AJ04,HAB001,
AJ05,ABR049,
AJ06,ABR036,
AJ07,ABR028,
AJ08,ABR017,
AJ09,NA,Do Not Include this Data - Site no longer exists
AJ10,ABR006,
AJ11,ABR001,
MY10,UPL001,
MY11,MYR071,
MY12,MIB001,
MY13,MWRA070,
MY14,MWRA172,
MY15,MWRA061,
MY16A,MYR39,
MY17A,MAR036,
MY18,MWRA059,
HB01,HAB0015,
HB02,HAB002,
AJT01,NA,Do Not Include this Data - Site no longer exists
AJT02,SWBB,
AJT03,HOB103,
AJT04,SHBTRIB,
AJT05,CUBLEX,
HBT01,HBT01,
HBT02,HBT02,
HBT03,HBT03,
HBT04,NA,Do Not Include this Data - Site no longer exists
HBT05,HBT05,
HBT06,HBT06,
HBT07,HBT07,
HBT08,HBT08,
